relative_path,format,geometry_blocks,atom_count,composition,ordered_elements_sha256,transition_metal_positions_1based,cat_id_from_filename,ps_id_from_filename,stage_from_filename,blank_line_count,metadata_line_count,parse_status
MD_configurations/cat-10_pho-15_initial.txt,headerless element-x-y-z,1,138,C:54;Cl:2;Cu:1;H:61;N:7;O:10;P:2;Zn:1,4955764d20895c56c8146947f7ce35b0e354ff7e580b17df5621175d9f21ded7,Zn:54;Cu:61,10,15,initial,0,0,all rows finite element-x-y-z
MD_configurations/cat-10_pho-16_final.txt,headerless element-x-y-z,1,139,C:57;Cl:2;Cu:1;H:59;N:7;O:10;P:2;Zn:1,b5543954a8dc09ef7e54bd67aa763696a9c30bb812e3384efb692e82a0801958,Zn:54;Cu:61,10,16,final,0,0,all rows finite element-x-y-z
MD_configurations/cat-10_pho-16_initial.txt,headerless element-x-y-z,1,139,C:57;Cl:2;Cu:1;H:59;N:7;O:10;P:2;Zn:1,b5543954a8dc09ef7e54bd67aa763696a9c30bb812e3384efb692e82a0801958,Zn:54;Cu:61,10,16,initial,0,0,all rows finite element-x-y-z
MD_configurations/cat-10_pho-17_final.txt,headerless element-x-y-z,1,163,C:68;Cl:2;Cu:1;H:71;N:7;O:11;P:2;Zn:1,06f8749e5d5f2bbf979f0f385afc27117fba8d5e609764c477f63ec029608c4e,Zn:54;Cu:61,10,17,final,0,0,all rows finite element-x-y-z
MD_configurations/cat-10_pho-17_initial.txt,headerless element-x-y-z,1,163,C:68;Cl:2;Cu:1;H:71;N:7;O:11;P:2;Zn:1,06f8749e5d5f2bbf979f0f385afc27117fba8d5e609764c477f63ec029608c4e,Zn:54;Cu:61,10,17,initial,0,0,all rows finite element-x-y-z
MD_configurations/cat-10_pho-18_final.txt,headerless element-x-y-z,1,156,C:65;Cl:2;Cu:1;H:67;N:7;O:11;P:2;Zn:1,2062ddced4866e12f91d598e13cbbe878ca54e1c7a8e4b6be48808be7ac22676,Zn:54;Cu:61,10,18,final,0,0,all rows finite element-x-y-z
MD_configurations/cat-10_pho-18_initial.txt,headerless element-x-y-z,1,156,C:65;Cl:2;Cu:1;H:67;N:7;O:11;P:2;Zn:1,2062ddced4866e12f91d598e13cbbe878ca54e1c7a8e4b6be48808be7ac22676,Zn:54;Cu:61,10,18,initial,0,0,all rows finite element-x-y-z
MD_configurations/cat-10_pho-19_final.txt,headerless element-x-y-z,1,157,C:67;Cl:2;Cu:1;H:65;N:7;O:11;P:2;S:1;Zn:1,89f2898cd384a2dddfa198b5693229acc49119ed92ecb1f0670c336edbaee013,Zn:54;Cu:61,10,19,final,0,0,all rows finite element-x-y-z
MD_configurations/cat-10_pho-19_initial.txt,headerless element-x-y-z,1,157,C:67;Cl:2;Cu:1;H:65;N:7;O:11;P:2;S:1;Zn:1,89f2898cd384a2dddfa198b5693229acc49119ed92ecb1f0670c336edbaee013,Zn:54;Cu:61,10,19,initial,0,0,all rows finite element-x-y-z
MD_configurations/cat-10_pho-1_final.txt,headerless element-x-y-z,1,183,C:80;Cl:2;Cu:1;H:79;N:7;O:11;P:2;Zn:1,6c0230cdb019c5634bfcaa0ec257644fa4176f486077d81f79a61c69fe4c764b,Zn:54;Cu:61,10,1,final,0,0,all rows finite element-x-y-z
MD_configurations/cat-10_pho-1_initial.txt,headerless element-x-y-z,1,183,C:80;Cl:2;Cu:1;H:79;N:7;O:11;P:2;Zn:1,6c0230cdb019c5634bfcaa0ec257644fa4176f486077d81f79a61c69fe4c764b,Zn:54;Cu:61,10,1,initial,0,0,all rows finite element-x-y-z
MD_configurations/cat-10_pho-20_final.txt,headerless element-x-y-z,1,171,C:71;Cl:2;Cu:1;H:73;N:7;O:13;P:2;S:1;Zn:1,1f7655eb621bf0aa042315cf7f53ede8a309d7c163f6feee00cc03d2c6d6efa9,Zn:54;Cu:61,10,20,final,0,0,all rows finite element-x-y-z
MD_configurations/cat-10_pho-20_initial.txt,headerless element-x-y-z,1,171,C:71;Cl:2;Cu:1;H:73;N:7;O:13;P:2;S:1;Zn:1,1f7655eb621bf0aa042315cf7f53ede8a309d7c163f6feee00cc03d2c6d6efa9,Zn:54;Cu:61,10,20,initial,0,0,all rows finite element-x-y-z
MD_configurations/cat-10_pho-21_final.txt,headerless element-x-y-z,1,138,C:54;Cl:2;Cu:1;H:61;N:7;O:10;P:2;Zn:1,360943cc1e93ef46177ff716dc607e1aac71e79e3d28218af20cb3117de36308,Zn:54;Cu:61,10,21,final,0,0,all rows finite element-x-y-z
MD_configurations/cat-10_pho-21_initial.txt,headerless element-x-y-z,1,138,C:54;Cl:2;Cu:1;H:61;N:7;O:10;P:2;Zn:1,360943cc1e93ef46177ff716dc607e1aac71e79e3d28218af20cb3117de36308,Zn:54;Cu:61,10,21,initial,0,0,all rows finite element-x-y-z
MD_configurations/cat-10_pho-22_final.txt,headerless element-x-y-z,1,141,C:55;Cl:2;Cu:1;H:63;N:7;O:10;P:2;Zn:1,7d2cc412eaa73a45642016725259fc8229cf11f9fd20983fd2ac109a30d3b2c4,Zn:54;Cu:61,10,22,final,0,0,all rows finite element-x-y-z
MD_configurations/cat-10_pho-22_initial.txt,headerless element-x-y-z,1,141,C:55;Cl:2;Cu:1;H:63;N:7;O:10;P:2;Zn:1,7d2cc412eaa73a45642016725259fc8229cf11f9fd20983fd2ac109a30d3b2c4,Zn:54;Cu:61,10,22,initial,0,0,all rows finite element-x-y-z
MD_configurations/cat-10_pho-23_final.txt,headerless element-x-y-z,1,144,C:56;Cl:2;Cu:1;H:65;N:7;O:10;P:2;Zn:1,b6863f42d096aceec5d4d50ab88608e38d8f733670aed402ff07f3d58084a580,Zn:54;Cu:61,10,23,final,0,0,all rows finite element-x-y-z
MD_configurations/cat-10_pho-23_initial.txt,headerless element-x-y-z,1,144,C:56;Cl:2;Cu:1;H:65;N:7;O:10;P:2;Zn:1,b6863f42d096aceec5d4d50ab88608e38d8f733670aed402ff07f3d58084a580,Zn:54;Cu:61,10,23,initial,0,0,all rows finite element-x-y-z
MD_configurations/cat-10_pho-24_final.txt,headerless element-x-y-z,1,145,C:59;Cl:2;Cu:1;H:63;N:7;O:10;P:2;Zn:1,ce1ecaa31f141217ee975e877bfa8cdb61796fa6b41afee5bf53df37949e6ca7,Zn:54;Cu:61,10,24,final,0,0,all rows finite element-x-y-z
MD_configurations/cat-10_pho-24_initial.txt,headerless element-x-y-z,1,145,C:59;Cl:2;Cu:1;H:63;N:7;O:10;P:2;Zn:1,ce1ecaa31f141217ee975e877bfa8cdb61796fa6b41afee5bf53df37949e6ca7,Zn:54;Cu:61,10,24,initial,0,0,all rows finite element-x-y-z
MD_configurations/cat-10_pho-25_final.txt,headerless element-x-y-z,1,177,C:78;Cl:2;Cu:1;H:75;N:7;O:11;P:2;Zn:1,a4fa9d5e22976958e0d1020a58164737e940f5c42b5d65b6dad77b65ac7b5e52,Zn:54;Cu:61,10,25,final,0,0,all rows finite element-x-y-z
MD_configurations/cat-10_pho-25_initial.txt,headerless element-x-y-z,1,177,C:78;Cl:2;Cu:1;H:75;N:7;O:11;P:2;Zn:1,a4fa9d5e22976958e0d1020a58164737e940f5c42b5d65b6dad77b65ac7b5e52,Zn:54;Cu:61,10,25,initial,0,0,all rows finite element-x-y-z
MD_configurations/cat-10_pho-26_final.txt,headerless element-x-y-z,1,170,C:75;Cl:2;Cu:1;H:71;N:7;O:11;P:2;Zn:1,7a2aadb7d2ac7807e1163a398376055a62aa37e414e0441768cc890815b38c72,Zn:54;Cu:61,10,26,final,0,0,all rows finite element-x-y-z
MD_configurations/cat-10_pho-26_initial.txt,headerless element-x-y-z,1,170,C:75;Cl:2;Cu:1;H:71;N:7;O:11;P:2;Zn:1,7a2aadb7d2ac7807e1163a398376055a62aa37e414e0441768cc890815b38c72,Zn:54;Cu:61,10,26,initial,0,0,all rows finite element-x-y-z
MD_configurations/cat-10_pho-27_final.txt,headerless element-x-y-z,1,171,C:77;Cl:2;Cu:1;H:69;N:7;O:11;P:2;S:1;Zn:1,d977d2436da20181af6f6ad02abf3fedcf25154de365ffc70900aa93e8f13975,Zn:54;Cu:61,10,27,final,0,0,all rows finite element-x-y-z
MD_configurations/cat-10_pho-27_initial.txt,headerless element-x-y-z,1,171,C:77;Cl:2;Cu:1;H:69;N:7;O:11;P:2;S:1;Zn:1,d977d2436da20181af6f6ad02abf3fedcf25154de365ffc70900aa93e8f13975,Zn:54;Cu:61,10,27,initial,0,0,all rows finite element-x-y-z
MD_configurations/cat-10_pho-28_final.txt,headerless element-x-y-z,1,185,C:81;Cl:2;Cu:1;H:77;N:7;O:13;P:2;S:1;Zn:1,d84fd8ffc38a8fc5ca7036d8998a0d86d343e4f667fbb33c035632cfed71c3a8,Zn:54;Cu:61,10,28,final,0,0,all rows finite element-x-y-z
