coupling,row_block,n_rows,term,component,mean_absolute,rms,bias
J,all_1000,1000,cat,sum_xyz,116.34298185868934,179.11931730560121,7.4984042804316475
J,all_1000,1000,cat,x,107.81086077734822,169.53798652517358,7.6956280331971225
J,all_1000,1000,cat,y,27.91482020551675,51.92124108768666,-1.4152320145364459
J,all_1000,1000,cat,z,13.738549820281573,27.6799759306105,1.2180082617709673
J,all_1000,1000,ps,sum_xyz,68.63477664870474,144.81877666980606,2.011349840044727
J,all_1000,1000,ps,x,43.99499718354139,99.33861577673585,3.1018302860533784
J,all_1000,1000,ps,y,39.8169818700788,85.3373231850418,-1.0163170645501798
J,all_1000,1000,ps,z,12.599576948857472,34.0546597748947,-0.0741633814584718
J,all_1000,1000,cross,sum_xyz,25.363855696808006,52.5574099397782,-0.9455884053237318
J,all_1000,1000,cross,x,17.804718074834323,40.97568014720887,0.3907195359709794
J,all_1000,1000,cross,y,12.614926272874476,26.535409082285568,-1.1346647899324125
J,all_1000,1000,cross,z,4.655467015791479,10.585530740837056,-0.20164315136229802
J,all_1000,1000,first,sum_xyz,151.2404604212345,241.03306579958345,9.509754120476373
J,all_1000,1000,first,x,124.73797404435763,201.75319851717478,10.797458319250502
J,all_1000,1000,first,y,62.13497230473717,108.74028096764309,-2.4315490790866248
J,all_1000,1000,first,z,21.424472348037277,45.28826459364644,1.1438448803124959
J,all_1000,1000,total,sum_xyz,145.6712708144983,224.14468980605733,8.564165715152638
J,all_1000,1000,total,x,122.9232159910506,191.4285479238299,11.188177855221484
J,all_1000,1000,total,y,53.68557792046746,97.4409448091104,-3.566213869019039
J,all_1000,1000,total,z,19.98833552489298,41.76042943557692,0.9422017289501974
J,first_900,900,cat,sum_xyz,115.14227971570338,176.93254560923856,8.424356894240237
J,first_900,900,cat,x,106.76967969311004,167.61275103159346,8.216515114634497
J,first_900,900,cat,y,28.485616044839173,53.030722175912224,-0.9659551293137685
J,first_900,900,cat,z,13.00697299127699,26.851072988654362,1.1737969089195113
J,first_900,900,ps,sum_xyz,69.55684158116675,148.33209833587614,2.7264079114021342
J,first_900,900,ps,x,43.43320274390906,101.02405194669011,3.527118436319121
J,first_900,900,ps,y,40.356912887910916,87.50465588799598,-0.8829934754110661
J,first_900,900,ps,z,13.092533892989454,35.636730446915436,0.0822829504940786
J,first_900,900,cross,sum_xyz,25.427830188622917,53.791722782817224,-1.0219625492900395
J,first_900,900,cross,x,17.554214227135983,41.67551120900093,0.5508302174610072
J,first_900,900,cross,y,12.86224575144771,27.487845323228196,-1.411435184210995
J,first_900,900,cross,z,4.56640960988072,10.693986428504653,-0.1613575825400516
J,first_900,900,first,sum_xyz,151.03119704739203,242.00404149819136,11.15076480564237
J,first_900,900,first,x,123.88586638590324,200.39052711740297,11.743633550953616
J,first_900,900,first,y,63.64778053928623,111.52581790331871,-1.8489486047248354
J,first_900,900,first,z,21.07827476663248,45.87997126540773,1.25607985941359
J,first_900,900,total,sum_xyz,145.78058894241215,224.9322899533272,10.128802256352326
J,first_900,900,total,x,122.1958812984685,190.5112714179906,12.294463768414623
J,first_900,900,total,y,54.66240487797657,99.7200307426531,-3.2603837889358287
J,first_900,900,total,z,19.610717076623317,42.28124488655081,1.094722276873538
J,last_100,100,cat,sum_xyz,127.149301145563,197.71486301833517,-0.8351692438456688
J,last_100,100,cat,x,117.18149053549178,185.9703739166241,3.0076443002607967
J,last_100,100,cat,y,22.77765765161495,40.59353779073359,-5.45872398154054
J,last_100,100,cat,z,20.322741281322795,34.24893559533451,1.615910437434072
J,last_100,100,ps,sum_xyz,60.33619225654677,108.18076627051322,-4.42417280217193
J,last_100,100,ps,x,49.051147140232345,82.6370026007216,-0.7257630663383046
J,last_100,100,ps,y,34.95760270958971,62.53802095680213,-2.2162293668022004
J,last_100,100,ps,z,8.162964451669646,12.93868275070242,-1.4821803690314224
J,last_100,100,cross,sum_xyz,24.788085270473815,39.76013627099189,-0.258221109626961
