figure,target,split,units,n_rows,norm_threshold,calculated_norm_mean,calculated_norm_median,calculated_norm_rms,calculated_norm_minimum,predicted_norm_mean,vector_error_norm_mean,vector_error_norm_rms,vector_error_rms_over_calculated_norm_rms,magnitude_pearson_r,magnitude_r2,magnitude_mae,magnitude_rmse,magnitude_bias,relative_error_valid_rows,relative_error_excluded_rows,relative_magnitude_error_mean,relative_magnitude_error_median,relative_vector_error_median,angle_valid_rows,angle_excluded_rows,angle_mean_degrees,angle_median_degrees,angle_p90_degrees,angle_above_90_degrees_fraction,phase_insensitive_axis_angle_median_degrees,phase_insensitive_axis_angle_mean_degrees,phase_insensitive_axis_angle_p90_degrees,angle_below_5_degrees_count,angle_below_5_degrees_fraction,angle_below_10_degrees_count,angle_below_10_degrees_fraction,angle_below_20_degrees_count,angle_below_20_degrees_fraction
5,catalyst_intrinsic,train,released_numeric_units_unspecified,900,0.0001,8.237125826073035,4.047090508660094,12.364787359008004,0.1289105092690274,6.838004680962226,2.926860136799014,4.049387405995449,0.32749349329047595,0.9683458717618708,0.9139842638605573,1.8151711959911179,2.704548479424815,-1.3991211451108077,900,0,0.4576148110859432,0.32631368299796126,0.6183276757185847,900,0,41.227860377037224,29.560876369568184,98.77054065143861,0.13,28.897415343187298,34.403043309392004,76.10291101660655,152,0.1688888888888889,235,0.2611111111111111,353,0.39222222222222225
5,catalyst_intrinsic,train,released_numeric_units_unspecified,900,0.001,8.237125826073035,4.047090508660094,12.364787359008004,0.1289105092690274,6.838004680962226,2.926860136799014,4.049387405995449,0.32749349329047595,0.9683458717618708,0.9139842638605573,1.8151711959911179,2.704548479424815,-1.3991211451108077,900,0,0.4576148110859432,0.32631368299796126,0.6183276757185847,900,0,41.227860377037224,29.560876369568184,98.77054065143861,0.13,28.897415343187298,34.403043309392004,76.10291101660655,152,0.1688888888888889,235,0.2611111111111111,353,0.39222222222222225
5,catalyst_intrinsic,train,released_numeric_units_unspecified,900,0.01,8.237125826073035,4.047090508660094,12.364787359008004,0.1289105092690274,6.838004680962226,2.926860136799014,4.049387405995449,0.32749349329047595,0.9683458717618708,0.9139842638605573,1.8151711959911179,2.704548479424815,-1.3991211451108077,900,0,0.4576148110859432,0.32631368299796126,0.6183276757185847,900,0,41.227860377037224,29.560876369568184,98.77054065143861,0.13,28.897415343187298,34.403043309392004,76.10291101660655,152,0.1688888888888889,235,0.2611111111111111,353,0.39222222222222225
5,catalyst_intrinsic,test,released_numeric_units_unspecified,100,0.0001,9.28946169934107,4.058594403537271,14.113054324860194,0.6096119826578213,8.11067132490108,3.2657210962015815,3.761530744396488,0.2665284677442599,0.9779901835142525,0.9441431095981716,1.7496621421529697,2.5110477086050778,-1.178790374439991,100,0,0.38768684957248545,0.27450772735321405,0.884930842764589,100,0,56.236775562607484,48.62004508922887,127.61138889655457,0.26,40.35640272457614,38.37644964217914,77.57783819390131,14,0.14,27,0.27,34,0.34
5,catalyst_intrinsic,test,released_numeric_units_unspecified,100,0.001,9.28946169934107,4.058594403537271,14.113054324860194,0.6096119826578213,8.11067132490108,3.2657210962015815,3.761530744396488,0.2665284677442599,0.9779901835142525,0.9441431095981716,1.7496621421529697,2.5110477086050778,-1.178790374439991,100,0,0.38768684957248545,0.27450772735321405,0.884930842764589,100,0,56.236775562607484,48.62004508922887,127.61138889655457,0.26,40.35640272457614,38.37644964217914,77.57783819390131,14,0.14,27,0.27,34,0.34
5,catalyst_intrinsic,test,released_numeric_units_unspecified,100,0.01,9.28946169934107,4.058594403537271,14.113054324860194,0.6096119826578213,8.11067132490108,3.2657210962015815,3.761530744396488,0.2665284677442599,0.9779901835142525,0.9441431095981716,1.7496621421529697,2.5110477086050778,-1.178790374439991,100,0,0.38768684957248545,0.27450772735321405,0.884930842764589,100,0,56.236775562607484,48.62004508922887,127.61138889655457,0.26,40.35640272457614,38.37644964217914,77.57783819390131,14,0.14,27,0.27,34,0.34
6,photosensitizer_intrinsic,train,released_numeric_units_unspecified,900,0.0001,10.141268168693594,9.8509543937147,10.683050199475908,4.153970022592846,9.695954035888349,2.3704235324635485,2.7824612544353404,0.26045569406496316,0.8811440815793304,0.7515365971560657,1.2129548246625161,1.6742831641020475,-0.4453141328052437,900,0,0.12093489373548759,0.0945589813387211,0.2123501263139148,900,0,11.063175719151408,9.665870379888187,20.467914315978934,0.0022222222222222222,9.665870379888187,10.974575412404592,20.467914315978934,187,0.20777777777777778,471,0.5233333333333333,803,0.8922222222222222
6,photosensitizer_intrinsic,train,released_numeric_units_unspecified,900,0.001,10.141268168693594,9.8509543937147,10.683050199475908,4.153970022592846,9.695954035888349,2.3704235324635485,2.7824612544353404,0.26045569406496316,0.8811440815793304,0.7515365971560657,1.2129548246625161,1.6742831641020475,-0.4453141328052437,900,0,0.12093489373548759,0.0945589813387211,0.2123501263139148,900,0,11.063175719151408,9.665870379888187,20.467914315978934,0.0022222222222222222,9.665870379888187,10.974575412404592,20.467914315978934,187,0.20777777777777778,471,0.5233333333333333,803,0.8922222222222222
6,photosensitizer_intrinsic,train,released_numeric_units_unspecified,900,0.01,10.141268168693594,9.8509543937147,10.683050199475908,4.153970022592846,9.695954035888349,2.3704235324635485,2.7824612544353404,0.26045569406496316,0.8811440815793304,0.7515365971560657,1.2129548246625161,1.6742831641020475,-0.4453141328052437,900,0,0.12093489373548759,0.0945589813387211,0.2123501263139148,900,0,11.063175719151408,9.665870379888187,20.467914315978934,0.0022222222222222222,9.665870379888187,10.974575412404592,20.467914315978934,187,0.20777777777777778,471,0.5233333333333333,803,0.8922222222222222
6,photosensitizer_intrinsic,test,released_numeric_units_unspecified,100,0.0001,9.770186013816296,9.634459350675154,10.09654980793236,5.768533340338773,9.551645752128103,2.2435802117015804,2.62505946368364,0.2599956929466401,0.8614110640653565,0.6883201588978308,1.1464816174819283,1.4215711527361352,-0.21854026168819396,100,0,0.11943659662745587,0.10451564683064524,0.22700182477465536,100,0,10.329241253455027,8.657169856506638,18.501942588514524,0.0,8.657169856506638,10.329241253455027,18.501942588514524,20,0.2,58,0.58,94,0.94
6,photosensitizer_intrinsic,test,released_numeric_units_unspecified,100,0.001,9.770186013816296,9.634459350675154,10.09654980793236,5.768533340338773,9.551645752128103,2.2435802117015804,2.62505946368364,0.2599956929466401,0.8614110640653565,0.6883201588978308,1.1464816174819283,1.4215711527361352,-0.21854026168819396,100,0,0.11943659662745587,0.10451564683064524,0.22700182477465536,100,0,10.329241253455027,8.657169856506638,18.501942588514524,0.0,8.657169856506638,10.329241253455027,18.501942588514524,20,0.2,58,0.58,94,0.94
6,photosensitizer_intrinsic,test,released_numeric_units_unspecified,100,0.01,9.770186013816296,9.634459350675154,10.09654980793236,5.768533340338773,9.551645752128103,2.2435802117015804,2.62505946368364,0.2599956929466401,0.8614110640653565,0.6883201588978308,1.1464816174819283,1.4215711527361352,-0.21854026168819396,100,0,0.11943659662745587,0.10451564683064524,0.22700182477465536,100,0,10.329241253455027,8.657169856506638,18.501942588514524,0.0,8.657169856506638,10.329241253455027,18.501942588514524,20,0.2,58,0.58,94,0.94
7,catalyst_transition,train,released_numeric_units_unspecified,900,0.0001,0.13903090377500144,0.12444141434874828,0.17752446171549516,0.0036972605155992187,0.11929077996123119,0.06705952807838872,0.09642846535819828,0.5431841022153713,0.8938782126735629,0.7581002046989013,0.03671734147379019,0.05429209711128424,-0.019740123813770244,900,0,0.3940452811253757,0.25918171019352054,0.5661591246260445,900,0,38.376995735044645,24.344063354921225,96.73331377170582,0.10888888888888888,23.900897246901298,31.817081976246254,70.83658556972611,62,0.06888888888888889,193,0.21444444444444444,392,0.43555555555555553
7,catalyst_transition,train,released_numeric_units_unspecified,900,0.001,0.13903090377500144,0.12444141434874828,0.17752446171549516,0.0036972605155992187,0.11929077996123119,0.06705952807838872,0.09642846535819828,0.5431841022153713,0.8938782126735629,0.7581002046989013,0.03671734147379019,0.05429209711128424,-0.019740123813770244,900,0,0.3940452811253757,0.25918171019352054,0.5661591246260445,900,0,38.376995735044645,24.344063354921225,96.73331377170582,0.10888888888888888,23.900897246901298,31.817081976246254,70.83658556972611,62,0.06888888888888889,193,0.21444444444444444,392,0.43555555555555553
7,catalyst_transition,train,released_numeric_units_unspecified,900,0.01,0.13903090377500144,0.12444141434874828,0.17752446171549516,0.0036972605155992187,0.11929077996123119,0.06705952807838872,0.09642846535819828,0.5431841022153713,0.8938782126735629,0.7581002046989013,0.03671734147379019,0.05429209711128424,-0.019740123813770244,876,24,0.3421127001517015,0.2506848697162648,0.5395191548369571,849,51,35.5720224194848,22.726566000175016,85.82867217808541,0.0895170789163722,22.444380086297503,30.354863689851683,69.00364822087093,61,0.071849234393404,192,0.22614840989399293,391,0.46054181389870436
7,catalyst_transition,test,released_numeric_units_unspecified,100,0.0001,0.12904831378893813,0.089589408145942,0.1678592754364669,0.004847890135426853,0.10876087935254461,0.062324059855585416,0.08081463253927933,0.4814427581028543,0.9057241451675246,0.7837833339307071,0.03454180581768964,0.04991515619531155,-0.02028743443639347,100,0,0.4095504677730467,0.2717393239411184,0.6286406159197959,100,0,38.776257061947206,27.625217413751066,84.736794608617,0.08,26.193832803247755,35.1556868053911,74.82648444288523,3,0.03,14,0.14,36,0.36
7,catalyst_transition,test,released_numeric_units_unspecified,100,0.001,0.12904831378893813,0.089589408145942,0.1678592754364669,0.004847890135426853,0.10876087935254461,0.062324059855585416,0.08081463253927933,0.4814427581028543,0.9057241451675246,0.7837833339307071,0.03454180581768964,0.04991515619531155,-0.02028743443639347,100,0,0.4095504677730467,0.2717393239411184,0.6286406159197959,100,0,38.776257061947206,27.625217413751066,84.736794608617,0.08,26.193832803247755,35.1556868053911,74.82648444288523,3,0.03,14,0.14,36,0.36
7,catalyst_transition,test,released_numeric_units_unspecified,100,0.01,0.12904831378893813,0.089589408145942,0.1678592754364669,0.004847890135426853,0.10876087935254461,0.062324059855585416,0.08081463253927933,0.4814427581028543,0.9057241451675246,0.7837833339307071,0.03454180581768964,0.04991515619531155,-0.02028743443639347,96,4,0.37793348664590004,0.25422495490067054,0.5893189145233271,92,8,35.19262004724868,26.193832803247755,73.63642597630964,0.03260869565217391,25.680299835154926,33.22173544078063,72.2961658168502,3,0.03260869565217391,13,0.14130434782608695,35,0.3804347826086957
8,photosensitizer_transition,train,released_numeric_units_unspecified,900,0.0001,0.8626512422795987,0.8461050859747613,0.9066115413080732,0.12448074710572715,0.6828052547994862,0.384330816066427,0.46062558542080956,0.508073815998649,0.577218310197994,-0.3926164834397661,0.25469016539024564,0.32911089210058314,-0.17984598748011246,900,0,0.30086222068523594,0.26068723778231,0.4035429935193108,900,0,23.14723930210993,14.612643744050892,52.40530741830807,0.042222222222222223,14.612643744050892,21.11759162226399,47.81156761461685,123,0.13666666666666666,315,0.35,567,0.63
8,photosensitizer_transition,train,released_numeric_units_unspecified,900,0.001,0.8626512422795987,0.8461050859747613,0.9066115413080732,0.12448074710572715,0.6828052547994862,0.384330816066427,0.46062558542080956,0.508073815998649,0.577218310197994,-0.3926164834397661,0.25469016539024564,0.32911089210058314,-0.17984598748011246,900,0,0.30086222068523594,0.26068723778231,0.4035429935193108,900,0,23.14723930210993,14.612643744050892,52.40530741830807,0.042222222222222223,14.612643744050892,21.11759162226399,47.81156761461685,123,0.13666666666666666,315,0.35,567,0.63
8,photosensitizer_transition,train,released_numeric_units_unspecified,900,0.01,0.8626512422795987,0.8461050859747613,0.9066115413080732,0.12448074710572715,0.6828052547994862,0.384330816066427,0.46062558542080956,0.508073815998649,0.577218310197994,-0.3926164834397661,0.25469016539024564,0.32911089210058314,-0.17984598748011246,900,0,0.30086222068523594,0.26068723778231,0.4035429935193108,900,0,23.14723930210993,14.612643744050892,52.40530741830807,0.042222222222222223,14.612643744050892,21.11759162226399,47.81156761461685,123,0.13666666666666666,315,0.35,567,0.63
8,photosensitizer_transition,test,released_numeric_units_unspecified,100,0.0001,0.9020694610015704,0.8958877936727627,0.9564769184671895,0.006025282151069774,0.7157191922657441,0.395436578351914,0.48237811511717354,0.5043280248625475,0.5911905185121832,-0.18903742176743266,0.2578442496668891,0.3467477716384049,-0.18635026873582616,100,0,0.3189773028055176,0.19134524026856298,0.4129660858575323,100,0,24.468505037530655,15.479735862944612,52.715430862859115,0.04,15.479735862944612,22.364795333175223,51.96564925069896,9,0.09,36,0.36,58,0.58
8,photosensitizer_transition,test,released_numeric_units_unspecified,100,0.001,0.9020694610015704,0.8958877936727627,0.9564769184671895,0.006025282151069774,0.7157191922657441,0.395436578351914,0.48237811511717354,0.5043280248625475,0.5911905185121832,-0.18903742176743266,0.2578442496668891,0.3467477716384049,-0.18635026873582616,100,0,0.3189773028055176,0.19134524026856298,0.4129660858575323,100,0,24.468505037530655,15.479735862944612,52.715430862859115,0.04,15.479735862944612,22.364795333175223,51.96564925069896,9,0.09,36,0.36,58,0.58
8,photosensitizer_transition,test,released_numeric_units_unspecified,100,0.01,0.9020694610015704,0.8958877936727627,0.9564769184671895,0.006025282151069774,0.7157191922657441,0.395436578351914,0.48237811511717354,0.5043280248625475,0.5911905185121832,-0.18903742176743266,0.2578442496668891,0.3467477716384049,-0.18635026873582616,99,1,0.28960002603969165,0.18968292358451974,0.4098876680757215,99,1,23.697049347221903,15.399989807263394,51.99999292094352,0.030303030303030304,15.399989807263394,21.7911328454103,50.85215898091409,9,0.09090909090909091,36,0.36363636363636365,58,0.5858585858585859
